diagnose,symmetry_x,symmetry_y,diameter,mean_red,mean_green,mean_blue,variance_red,variance_green,variance_blue
0.0,0.01974056476507011,0.128422017850325,0.6907429008751316,0.19111870498144604,0.21553746431414378,0.26479911275932627,0.060005302719883455,0.06791870253475238,0.08245709127063235
0.0,0.04578753133418747,0.06253464550954259,0.3072860800532431,0.25770786645954047,0.22865419376379043,0.1986036863322222,0.09246582817252035,0.074137028946398,0.05484549114066573
1.0,0.008485958082306136,0.015773591295610265,0.5635028951652935,0.3769980245986907,0.358821820770834,0.3998518199085548,0.1655204111018463,0.14642809945692573,0.1547134898538751
0.0,0.20421668103850024,0.292924288678766,0.6749362998130585,0.42543487869123653,0.3587618109237357,0.2621898982036446,0.1989577957283814,0.14529097897905727,0.08110692598077596
1.0,0.0910817351733546,0.05232690025128478,0.5658090925004311,0.6452257662961747,0.455058879059105,0.6407646243559878,0.3991770596165454,0.21421716057859594,0.3332272917119285
0.0,0.03219020558298278,0.014094032905046943,0.3722964229934733,0.3705839794316706,0.4168478020143667,0.43434887748993456,0.16248687317528948,0.18701722818746055,0.1777075500585808
0.0,0.003109477539948756,0.02065631175287508,0.3549538997275984,0.3062181209522733,0.32804288902082235,0.3407059976732933,0.12006636615451145,0.12742788624462142,0.12081107150253666
0.0,0.17876051306912621,0.20996257086853795,0.6511047870730389,0.46785525610207174,0.3589040916892428,0.26405473452584594,0.2325406437453209,0.1458191723145269,0.08221415002717189
0.0,0.27372274994779855,0.31162088267572763,0.5928276527134528,0.4281416866698844,0.37430745205608246,0.3098082925625063,0.20179091474761407,0.15589223117386244,0.10428068410222839
0.0,0.10648814169099356,0.1656031393823794,0.34898460566404865,0.3611197354170392,0.35511926679874245,0.31544698089607404,0.15462347875925359,0.1439626324885366,0.10743836467238531
0.0,0.015323652056736288,0.03738739710183823,0.47290994814426174,0.4437740067684513,0.41331354117274405,0.3541858301965474,0.21400750043727135,0.18258248179952474,0.12793563894221383
0.0,0.04462022420913503,0.021836056250728854,0.3305927709174584,0.42445444702999247,0.3588270719630851,0.4046301988122291,0.20147652065634966,0.1477592636495351,0.15904040160490243
